iter	Passed	Remaining
0	1	196
1	3	174
2	5	173
3	6	159
4	8	156
5	9	155
6	11	152
7	13	153
8	15	152
9	16	152
10	18	148
11	19	144
12	21	141
13	22	138
14	23	135
15	25	133
16	27	132
17	28	131
18	30	129
19	32	128
20	33	126
21	35	125
22	36	122
23	38	120
24	40	120
25	42	119
26	43	117
27	45	116
28	46	114
29	48	112
30	49	110
31	51	108
32	52	106
33	53	104
34	55	102
35	56	100
36	57	98
37	59	96
38	60	94
39	61	91
40	62	89
41	62	86
42	63	84
43	64	82
44	65	80
45	66	77
46	67	76
47	68	74
48	69	72
49	70	70
50	71	68
51	72	66
52	72	64
53	73	62
54	74	60
55	75	59
56	76	57
57	76	55
58	77	54
59	78	52
60	79	50
61	80	49
62	81	47
63	81	46
64	83	44
65	83	43
66	84	41
67	85	40
68	86	38
69	86	37
70	87	35
71	88	34
72	89	32
73	89	31
74	90	30
75	91	28
76	92	27
77	92	26
78	93	24
79	94	23
80	94	22
81	95	20
82	95	19
83	96	18
84	96	17
85	97	15
86	98	14
87	98	13
88	99	12
89	99	11
90	100	9
91	100	8
92	101	7
93	101	6
94	102	5
95	103	4
96	103	3
97	104	2
98	104	1
99	105	0
